rank,candidate_id,candidate_name,final_fit_score,similarity_score,required_skill_score,important_skill_score,matched_required_skills,matched_important_skills,missing_required_skills
22,KG_02395,Kaggle Candidate 2395,19.55,0.78,33.33,50,"excel, sql","communication, python","data cleaning, data visualization, statistics, tableau"
23,KG_02221,Kaggle Candidate 2221,19.45,3.9,50,0,"excel, sql, statistics",,"data cleaning, data visualization, tableau"
24,KG_00844,Kaggle Candidate 844,19.39,0.45,33.33,50,"excel, sql","communication, python","data cleaning, data visualization, statistics, tableau"
25,KG_01153,Kaggle Candidate 1153,19.28,3.55,50,0,"excel, sql, statistics",,"data cleaning, data visualization, tableau"
26,KG_01135,Kaggle Candidate 1135,19.24,3.47,50,0,"excel, sql, tableau",,"data cleaning, data visualization, statistics"
27,KG_00976,Kaggle Candidate 976,18.83,6.83,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
28,KG_00253,Kaggle Candidate 253,18.19,1.39,50,0,"excel, sql, statistics",,"data cleaning, data visualization, tableau"
29,KG_01724,Kaggle Candidate 1724,18.12,1.24,50,0,"excel, sql, statistics",,"data cleaning, data visualization, tableau"
30,KG_01171,Kaggle Candidate 1171,18.05,1.11,50,0,"excel, sql, tableau",,"data cleaning, data visualization, statistics"
31,KG_01714,Kaggle Candidate 1714,17.53,4.23,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
32,KG_00319,Kaggle Candidate 319,17.51,4.19,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
33,KG_02201,Kaggle Candidate 2201,17.36,3.89,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
34,KG_00251,Kaggle Candidate 251,17.35,3.87,33.33,25,"sql, tableau",communication,"data cleaning, data visualization, excel, statistics"
35,KG_00018,Kaggle Candidate 18,17.28,3.73,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
36,KG_01834,Kaggle Candidate 1834,17.25,3.67,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
37,KG_01113,Kaggle Candidate 1113,17.09,3.35,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
38,KG_00284,Kaggle Candidate 284,17.07,3.31,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
39,KG_02385,Kaggle Candidate 2385,17,3.17,33.33,25,"excel, sql",python,"data cleaning, data visualization, statistics, tableau"
40,KG_00235,Kaggle Candidate 235,16.99,3.14,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
41,KG_00944,Kaggle Candidate 944,16.87,2.91,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
42,KG_00561,Kaggle Candidate 561,16.8,2.76,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
43,KG_00570,Kaggle Candidate 570,16.79,2.74,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
44,KG_00706,Kaggle Candidate 706,16.78,2.73,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
45,KG_01124,Kaggle Candidate 1124,16.77,2.71,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
46,KG_00292,Kaggle Candidate 292,16.66,2.49,33.33,25,"sql, statistics",python,"data cleaning, data visualization, excel, tableau"
47,KG_01251,Kaggle Candidate 1251,16.62,2.4,33.33,25,"data visualization, excel",communication,"data cleaning, sql, statistics, tableau"
48,KG_01725,Kaggle Candidate 1725,16.62,2.41,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
49,KG_01133,Kaggle Candidate 1133,16.6,2.37,33.33,25,"sql, statistics",communication,"data cleaning, data visualization, excel, tableau"
50,KG_01172,Kaggle Candidate 1172,16.53,2.24,33.33,25,"excel, sql",python,"data cleaning, data visualization, statistics, tableau"
51,KG_01207,Kaggle Candidate 1207,16.5,2.17,33.33,25,"excel, sql",python,"data cleaning, data visualization, statistics, tableau"
52,KG_00090,Kaggle Candidate 90,16.5,2.16,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
53,KG_02190,Kaggle Candidate 2190,16.5,2.17,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
54,KG_01878,Kaggle Candidate 1878,16.48,2.13,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
55,KG_01185,Kaggle Candidate 1185,16.47,2.11,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
56,KG_01179,Kaggle Candidate 1179,16.46,2.09,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
57,KG_01480,Kaggle Candidate 1480,16.45,2.06,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
58,KG_01870,Kaggle Candidate 1870,16.42,2,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
59,KG_01756,Kaggle Candidate 1756,16.41,1.99,33.33,25,"sql, tableau",python,"data cleaning, data visualization, excel, statistics"
60,KG_01265,Kaggle Candidate 1265,16.4,1.98,33.33,25,"excel, tableau",communication,"data cleaning, data visualization, sql, statistics"
61,KG_01239,Kaggle Candidate 1239,16.4,1.98,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
62,KG_00797,Kaggle Candidate 797,16.39,1.95,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
63,KG_01803,Kaggle Candidate 1803,16.34,1.85,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
64,KG_01271,Kaggle Candidate 1271,16.33,1.83,33.33,25,"excel, sql",a/b testing,"data cleaning, data visualization, statistics, tableau"
65,KG_00307,Kaggle Candidate 307,16.31,1.78,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
66,KG_01887,Kaggle Candidate 1887,16.3,1.77,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
67,KG_00088,Kaggle Candidate 88,16.3,1.76,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
68,KG_02474,Kaggle Candidate 2474,16.3,1.76,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
69,KG_02130,Kaggle Candidate 2130,16.3,1.76,33.33,25,"data visualization, excel",communication,"data cleaning, sql, statistics, tableau"
70,KG_02411,Kaggle Candidate 2411,16.28,1.73,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
71,KG_01541,Kaggle Candidate 1541,16.27,1.71,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
72,KG_00583,Kaggle Candidate 583,16.26,1.69,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
73,KG_02198,Kaggle Candidate 2198,16.22,1.61,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
74,KG_00465,Kaggle Candidate 465,16.2,1.56,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
75,KG_00279,Kaggle Candidate 279,16.19,1.54,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
76,KG_01115,Kaggle Candidate 1115,16.16,1.49,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
77,KG_00968,Kaggle Candidate 968,16.15,1.47,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
78,KG_01766,Kaggle Candidate 1766,16.13,1.42,33.33,25,"excel, statistics",python,"data cleaning, data visualization, sql, tableau"
79,KG_00053,Kaggle Candidate 53,16.11,1.38,33.33,25,"excel, tableau",communication,"data cleaning, data visualization, sql, statistics"
80,KG_01537,Kaggle Candidate 1537,16.07,1.31,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
81,KG_00381,Kaggle Candidate 381,16.06,1.29,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
82,KG_00740,Kaggle Candidate 740,16.05,1.27,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
83,KG_01147,Kaggle Candidate 1147,16.03,1.23,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
84,KG_01904,Kaggle Candidate 1904,16.02,1.2,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
85,KG_00960,Kaggle Candidate 960,16.02,1.2,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
86,KG_02171,Kaggle Candidate 2171,16.01,1.18,33.33,25,"excel, statistics",python,"data cleaning, data visualization, sql, tableau"
87,KG_00962,Kaggle Candidate 962,16,1.17,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
88,KG_01006,Kaggle Candidate 1006,15.98,1.13,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
89,KG_00703,Kaggle Candidate 703,15.97,1.1,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
90,KG_00079,Kaggle Candidate 79,15.97,1.11,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
91,KG_00702,Kaggle Candidate 702,15.97,1.1,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
92,KG_02200,Kaggle Candidate 2200,15.96,1.1,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
93,KG_02109,Kaggle Candidate 2109,15.96,1.08,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
94,KG_01794,Kaggle Candidate 1794,15.95,1.06,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
95,KG_01603,Kaggle Candidate 1603,15.93,1.02,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
96,KG_00922,Kaggle Candidate 922,15.9,0.97,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
97,KG_01194,Kaggle Candidate 1194,15.88,0.93,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
98,KG_01067,Kaggle Candidate 1067,15.88,0.92,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
99,KG_00646,Kaggle Candidate 646,15.87,0.91,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
100,KG_01768,Kaggle Candidate 1768,15.86,0.89,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
101,KG_00987,Kaggle Candidate 987,15.85,0.86,33.33,25,"sql, statistics",communication,"data cleaning, data visualization, excel, tableau"
102,KG_01749,Kaggle Candidate 1749,15.85,0.87,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
103,KG_01485,Kaggle Candidate 1485,15.84,0.84,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
104,KG_00164,Kaggle Candidate 164,15.84,0.84,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
105,KG_00242,Kaggle Candidate 242,15.82,0.81,33.33,25,"excel, sql",communication,"data cleaning, data visualization, statistics, tableau"
106,KG_00697,Kaggle Candidate 697,15.81,0.79,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
107,KG_00464,Kaggle Candidate 464,15.79,0.74,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
108,KG_01600,Kaggle Candidate 1600,15.79,0.75,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
109,KG_00861,Kaggle Candidate 861,15.76,0.7,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
110,KG_01779,Kaggle Candidate 1779,15.72,0.61,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
111,KG_00704,Kaggle Candidate 704,15.71,0.59,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
112,KG_02149,Kaggle Candidate 2149,15.69,0.56,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
113,KG_00826,Kaggle Candidate 826,15.68,0.52,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
114,KG_02471,Kaggle Candidate 2471,15.63,0.42,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
115,KG_02312,Kaggle Candidate 2312,15.59,0.35,33.33,25,"excel, statistics",communication,"data cleaning, data visualization, sql, tableau"
116,KG_01304,Kaggle Candidate 1304,14.94,3.22,16.67,50,excel,"a/b testing, communication","data cleaning, data visualization, sql, statistics, tableau"
117,KG_02199,Kaggle Candidate 2199,14.29,1.91,16.67,50,sql,"a/b testing, communication","data cleaning, data visualization, excel, statistics, tableau"
118,KG_00584,Kaggle Candidate 584,14.15,1.64,16.67,50,excel,"communication, python","data cleaning, data visualization, sql, statistics, tableau"
119,KG_01750,Kaggle Candidate 1750,14.05,1.43,16.67,50,sql,"communication, python","data cleaning, data visualization, excel, statistics, tableau"
120,KG_01641,Kaggle Candidate 1641,14.05,4.76,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
121,KG_01695,Kaggle Candidate 1695,13.91,1.16,16.67,50,sql,"communication, python","data cleaning, data visualization, excel, statistics, tableau"
122,KG_00753,Kaggle Candidate 753,13.9,4.47,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
123,KG_01225,Kaggle Candidate 1225,13.65,0.63,16.67,50,excel,"a/b testing, communication","data cleaning, data visualization, sql, statistics, tableau"
124,KG_01479,Kaggle Candidate 1479,13.65,3.97,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
125,KG_01282,Kaggle Candidate 1282,13.58,3.82,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
126,KG_01534,Kaggle Candidate 1534,13.56,3.78,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
127,KG_00244,Kaggle Candidate 244,13.46,3.59,33.33,0,"sql, tableau",,"data cleaning, data visualization, excel, statistics"
128,KG_00523,Kaggle Candidate 523,13.38,3.42,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
129,KG_00297,Kaggle Candidate 297,13.13,2.94,33.33,0,"sql, statistics",,"data cleaning, data visualization, excel, tableau"
130,KG_02193,Kaggle Candidate 2193,13.03,2.72,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
131,KG_01344,Kaggle Candidate 1344,13,2.66,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
132,KG_01798,Kaggle Candidate 1798,12.97,2.6,33.33,0,"sql, statistics",,"data cleaning, data visualization, excel, tableau"
133,KG_02196,Kaggle Candidate 2196,12.94,2.55,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
134,KG_00312,Kaggle Candidate 312,12.93,2.52,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
135,KG_01131,Kaggle Candidate 1131,12.93,2.53,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
136,KG_00183,Kaggle Candidate 183,12.93,2.53,33.33,0,"data visualization, sql",,"data cleaning, excel, statistics, tableau"
137,KG_00310,Kaggle Candidate 310,12.91,2.49,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
138,KG_00672,Kaggle Candidate 672,12.87,2.4,33.33,0,"sql, statistics",,"data cleaning, data visualization, excel, tableau"
139,KG_02202,Kaggle Candidate 2202,12.85,2.37,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
140,KG_00839,Kaggle Candidate 839,12.84,2.34,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
141,KG_00317,Kaggle Candidate 317,12.79,6.41,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
142,KG_02390,Kaggle Candidate 2390,12.78,2.23,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
143,KG_01522,Kaggle Candidate 1522,12.76,2.18,33.33,0,"statistics, tableau",,"data cleaning, data visualization, excel, sql"
144,KG_01173,Kaggle Candidate 1173,12.76,2.18,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
145,KG_01507,Kaggle Candidate 1507,12.71,2.08,33.33,0,"excel, tableau",,"data cleaning, data visualization, sql, statistics"
146,KG_01111,Kaggle Candidate 1111,12.71,2.09,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
147,KG_00277,Kaggle Candidate 277,12.69,2.04,33.33,0,"sql, statistics",,"data cleaning, data visualization, excel, tableau"
148,KG_02466,Kaggle Candidate 2466,12.62,1.91,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
149,KG_01518,Kaggle Candidate 1518,12.56,1.79,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
150,KG_00133,Kaggle Candidate 133,12.55,1.77,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
151,KG_00258,Kaggle Candidate 258,12.54,1.75,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
152,KG_02242,Kaggle Candidate 2242,12.53,1.72,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
153,KG_01810,Kaggle Candidate 1810,12.48,1.63,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
154,KG_00224,Kaggle Candidate 224,12.44,5.71,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
155,KG_00496,Kaggle Candidate 496,12.44,1.55,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
156,KG_00048,Kaggle Candidate 48,12.43,5.7,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
157,KG_01220,Kaggle Candidate 1220,12.43,5.7,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
158,KG_01161,Kaggle Candidate 1161,12.39,5.61,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
159,KG_01826,Kaggle Candidate 1826,12.38,1.43,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
160,KG_01899,Kaggle Candidate 1899,12.37,1.41,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
161,KG_00472,Kaggle Candidate 472,12.35,5.54,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
162,KG_01825,Kaggle Candidate 1825,12.33,1.33,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
163,KG_00117,Kaggle Candidate 117,12.32,1.31,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
164,KG_01835,Kaggle Candidate 1835,12.31,1.29,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
165,KG_00325,Kaggle Candidate 325,12.3,1.26,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
166,KG_02103,Kaggle Candidate 2103,12.24,1.15,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
167,KG_01856,Kaggle Candidate 1856,12.24,1.15,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
168,KG_00065,Kaggle Candidate 65,12.23,1.12,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
169,KG_01663,Kaggle Candidate 1663,12.21,1.09,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
170,KG_00929,Kaggle Candidate 929,12.21,5.25,16.67,25,sql,python,"data cleaning, data visualization, excel, statistics, tableau"
171,KG_01898,Kaggle Candidate 1898,12.21,1.09,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
172,KG_00289,Kaggle Candidate 289,12.19,5.2,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
173,KG_01561,Kaggle Candidate 1561,12.17,1.01,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
174,KG_00266,Kaggle Candidate 266,12.14,0.94,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
175,KG_01538,Kaggle Candidate 1538,12.11,0.89,33.33,0,"excel, sql",,"data cleaning, data visualization, statistics, tableau"
176,KG_01759,Kaggle Candidate 1759,12.06,0.78,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
177,KG_01529,Kaggle Candidate 1529,12.03,0.72,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
178,KG_02107,Kaggle Candidate 2107,11.97,0.61,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
179,KG_01488,Kaggle Candidate 1488,11.89,0.44,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
180,KG_00793,Kaggle Candidate 793,11.8,0.27,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
181,KG_01459,Kaggle Candidate 1459,11.77,0.22,33.33,0,"excel, statistics",,"data cleaning, data visualization, sql, tableau"
182,KG_01340,Kaggle Candidate 1340,11.67,4.17,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
183,KG_00724,Kaggle Candidate 724,11.66,4.15,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
184,KG_01356,Kaggle Candidate 1356,11.65,4.13,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
185,KG_01216,Kaggle Candidate 1216,11.58,3.99,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
186,KG_01125,Kaggle Candidate 1125,11.54,3.92,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
187,KG_00682,Kaggle Candidate 682,11.53,3.89,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
188,KG_01640,Kaggle Candidate 1640,11.47,3.78,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
189,KG_01532,Kaggle Candidate 1532,11.38,3.58,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
190,KG_02162,Kaggle Candidate 2162,11.35,3.53,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
191,KG_00441,Kaggle Candidate 441,11.34,3.51,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
192,KG_00291,Kaggle Candidate 291,11.3,3.43,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
193,KG_02186,Kaggle Candidate 2186,11.3,3.43,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
194,KG_01709,Kaggle Candidate 1709,11.29,3.42,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
195,KG_01802,Kaggle Candidate 1802,11.28,3.4,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
196,KG_00229,Kaggle Candidate 229,11.27,3.37,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
197,KG_01550,Kaggle Candidate 1550,11.26,3.36,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
198,KG_00254,Kaggle Candidate 254,11.25,3.34,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
199,KG_00236,Kaggle Candidate 236,11.25,3.34,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
200,KG_00562,Kaggle Candidate 562,11.25,3.33,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
201,KG_00589,Kaggle Candidate 589,11.24,3.32,16.67,25,tableau,communication,"data cleaning, data visualization, excel, sql, statistics"
202,KG_00707,Kaggle Candidate 707,11.24,3.31,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
203,KG_00234,Kaggle Candidate 234,11.23,3.29,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
204,KG_00634,Kaggle Candidate 634,11.22,3.28,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
205,KG_00260,Kaggle Candidate 260,11.2,3.22,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
206,KG_02191,Kaggle Candidate 2191,11.17,3.17,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
207,KG_00092,Kaggle Candidate 92,11.15,3.14,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
208,KG_00230,Kaggle Candidate 230,11.14,3.11,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
209,KG_00327,Kaggle Candidate 327,11.12,3.07,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
210,KG_00678,Kaggle Candidate 678,11.1,3.03,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
211,KG_01001,Kaggle Candidate 1001,11.09,3.02,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
212,KG_00240,Kaggle Candidate 240,11.07,2.96,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
213,KG_00526,Kaggle Candidate 526,11.04,2.91,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
214,KG_02251,Kaggle Candidate 2251,11.02,2.87,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
